Date,Russia_Total,Change,Ukraine_Total,Change,Ratio RU/UA,Russia_Destroyed,Ukraine_Destroyed,,Russia_Damaged,Ukraine_Damaged,,Russia_Abandoned,Ukraine_Abandoned,,Russia_Captured,Ukraine_Captured,,Russia_Tanks,Ukraine_Tanks,Russia_Tank_Capture,Ukraine_Tank_Capture,,Russia_AFV,Ukraine_AFV,Russia_AFV_Capture,Ukraine_AFV_Capture,,Russia_IFV,Ukraine_IFV,,Russia_APC,Ukraine_APC,,Russia_IMV,Ukraine_IMV,,Russia_Engineering,Ukraine_Engineering,,Russia_Coms,Ukraine_Coms,,Russia_Vehicles,Ukraine_Vehicles,,Russia_Aircraft,Ukraine_Aircraft,,Russia_Infantry,Ukraine_Infantry,,Russia_Logistics,Ukraine_Logistics,,Russia_Armor,Ukraine_Armor,,Russia_Antiair,Ukraine_Antiair,,Russia_Artillery,Ukraine_Artillery,,UNHCR Ukraine Refugees,UNHCR Returning Ukraine Refugees
2022-06-27,4392,8,1184,0,3.71,2630,577,,85,28,,322,36,,1355,543,,770,197,98,252,,435,90,52,133,,873,143,,117,67,,108,109,,167,15,,85,3,,1197,301,,172,62,,1098,319,,252,18,,1205,287,,88,100,,189,76,,8356196,3063899
2022-06-28,4463,71,1198,14,3.73,2685,585,,89,29,,323,36,,1366,548,,804,199,99,271,,457,90,53,133,,887,145,,120,67,,109,111,,169,16,,86,3,,1202,301,,175,65,,1116,323,,255,19,,1261,289,,88,101,,194,77,,8402336,3097142
2022-06-29,4511,48,1199,1,3.76,2727,586,,91,29,,330,36,,1363,548,,808,199,99,272,,467,90,53,133,,915,145,,121,67,,109,111,,171,16,,87,3,,1194,302,,175,65,,1145,323,,258,19,,1275,289,,88,101,,200,77,,,
2022-06-30,4510,-1,1199,0,3.76,2728,586,,91,29,,330,36,,1361,548,,808,199,99,272,,468,90,53,133,,912,145,,121,67,,109,111,,171,16,,87,3,,1194,302,,175,65,,1142,323,,258,19,,1276,289,,88,101,,200,77,,,
2022-07-01,4510,0,1199,0,3.76,2728,586,,91,29,,330,36,,1361,548,,808,199,99,272,,468,90,53,133,,912,145,,121,67,,109,111,,171,16,,87,3,,1194,302,,175,65,,1142,323,,258,19,,1276,289,,88,101,,200,77,,,
2022-07-02,4568,58,1201,2,3.80,2775,588,,97,29,,330,36,,1366,548,,821,199,99,273,,478,90,53,133,,921,145,,122,67,,110,111,,172,16,,88,3,,1209,302,,176,65,,1153,323,,260,19,,1299,289,,88,101,,201,79,,,
2022-07-03,4567,-1,1209,8,3.78,2775,592,,97,30,,327,36,,1368,551,,824,199,99,273,,478,91,54,133,,919,145,,122,67,,110,112,,172,16,,88,3,,1209,303,,176,65,,1151,324,,260,19,,1302,290,,88,101,,200,83,,,
2022-07-04,4574,7,1207,-2,3.79,2783,593,,97,30,,327,36,,1367,548,,831,199,99,273,,471,91,54,133,,917,145,,123,67,,110,112,,172,16,,89,3,,1211,302,,178,65,,1150,324,,261,19,,1302,290,,90,101,,200,83,,,
2022-07-05,4586,12,1207,0,3.80,2791,593,,99,30,,327,36,,1369,548,,834,199,99,274,,471,91,54,133,,922,145,,123,67,,110,112,,172,16,,90,3,,1214,302,,179,65,,1155,324,,262,19,,1305,290,,90,101,,200,83,,,
2022-07-06,4591,5,1209,2,3.80,2798,595,,100,30,,327,36,,1366,548,,836,199,99,274,,472,92,54,133,,922,146,,123,67,,110,112,,172,16,,90,3,,1217,302,,178,65,,1155,325,,262,19,,1308,291,,90,101,,200,83,,,
2022-07-07,4622,31,1222,13,3.78,2821,606,,104,30,,327,36,,1370,550,,848,199,99,276,,475,95,54,133,,906,146,,123,67,,110,114,,172,17,,90,3,,1217,305,,178,65,,1139,327,,262,20,,1323,294,,90,102,,200,83,,,
2022-07-08,4642,20,1226,4,3.79,2841,608,,101,30,,329,36,,1371,552,,853,201,100,276,,476,95,54,133,,911,148,,123,67,,112,114,,172,17,,90,3,,1228,305,,178,65,,1146,329,,262,20,,1329,296,,91,102,,200,83,,,
2022-07-09,4658,16,1226,0,3.80,2855,608,,101,30,,329,36,,1373,552,,857,201,100,277,,480,95,54,133,,914,148,,123,67,,112,114,,173,17,,90,3,,1231,305,,178,65,,1149,329,,263,20,,1337,296,,91,102,,201,83,,,
2022-07-10,4664,6,1233,7,3.78,2859,615,,101,30,,331,36,,1373,552,,862,201,100,277,,481,95,54,133,,914,148,,123,67,,112,114,,173,17,,90,3,,1232,305,,178,72,,1149,329,,263,20,,1343,296,,91,102,,201,83,,,
2022-07-11,4683,19,1253,20,3.74,2875,620,,102,30,,331,36,,1375,567,,869,204,103,278,,483,98,55,133,,916,153,,123,67,,112,117,,173,19,,90,3,,1237,307,,179,72,,1151,337,,263,22,,1352,302,,91,104,,204,85,,,
2022-07-12,4692,9,1252,-1,3.75,2879,619,,102,30,,331,36,,1380,567,,869,204,103,278,,487,98,55,133,,920,153,,124,67,,112,117,,173,19,,90,3,,1237,307,,179,71,,1156,337,,263,22,,1356,302,,91,104,,204,85,,,
2022-07-13,4706,14,1255,3,3.75,2892,622,,102,30,,332,36,,1380,567,,868,204,103,278,,490,98,55,133,,922,154,,125,67,,112,117,,173,19,,90,3,,1238,307,,179,71,,1159,338,,263,22,,1358,302,,91,104,,205,86,,,
2022-07-14,4722,16,1260,5,3.75,2907,627,,103,30,,332,36,,1380,567,,869,204,103,278,,491,98,55,133,,924,154,,127,67,,112,117,,173,19,,90,5,,1247,307,,180,74,,1163,338,,263,24,,1360,302,,91,104,,205,86,,,
2022-07-15,4734,12,1260,0,3.76,2917,627,,103,30,,333,36,,1381,567,,873,204,103,279,,491,98,55,133,,924,154,,127,67,,112,117,,173,19,,90,5,,1254,307,,180,74,,1163,338,,263,24,,1364,302,,91,104,,206,86,,,
2022-07-16,4747,13,1263,3,3.76,2929,629,,103,30,,333,36,,1382,568,,876,204,103,279,,495,98,55,134,,925,155,,128,68,,112,118,,173,19,,90,5,,1255,307,,180,74,,1165,341,,263,24,,1371,302,,91,104,,207,86,,,
2022-07-17,4757,10,1265,2,3.76,2938,631,,103,30,,333,36,,1383,568,,882,204,103,279,,496,98,55,134,,924,155,,127,68,,112,118,,173,19,,90,5,,1259,307,,180,74,,1163,341,,263,24,,1378,302,,91,105,,207,88,,,
2022-07-18,4733,-24,1268,3,3.73,2929,633,,103,30,,332,36,,1369,569,,867,205,104,270,,495,98,55,131,,949,155,,126,68,,113,118,,173,19,,91,5,,1259,307,,181,74,,1188,341,,264,24,,1362,303,,91,106,,209,89,,,
